family,bucket,n,delta,ci_low,ci_high,p_wilcoxon,win,loss,tie
hybrid,all,301,0.0190,-0.0037,0.0418,0.0345,58,38,205
hybrid,1-2,250,0.0153,-0.0113,0.0416,0.1392,47,33,170
hybrid,3-4,46,0.0380,0.0033,0.0783,0.0540,9,5,32
cross,all,298,0.0092,-0.0140,0.0324,0.5336,46,43,209
cross,1-2,248,0.0077,-0.0189,0.0348,0.7383,37,36,175
cross,3-4,45,0.0133,-0.0256,0.0556,0.6367,7,7,31
ppr,all,296,-0.0128,-0.0314,0.0052,0.2828,38,46,212
ppr,1-2,245,-0.0124,-0.0340,0.0086,0.3162,31,40,174
ppr,3-4,46,-0.0185,-0.0543,0.0109,0.6083,6,6,34
dense,all,301,0.0117,-0.0121,0.0357,0.3320,50,39,212
dense,1-2,250,0.0119,-0.0147,0.0392,0.3852,41,34,175
dense,3-4,46,0.0087,-0.0380,0.0554,0.7194,7,5,34
