alpha,bucket,n,delta,ci_low,ci_high,p_wilcoxon,p_holm,win,loss,tie
0.2500,all,301,-0.0203,-0.0395,-0.0012,0.0222,0.1110,32,56,213
0.5000,all,297,-0.0007,-0.0217,0.0200,0.7827,1.0000,49,49,199
0.6000,all,298,-0.0103,-0.0325,0.0107,0.4898,1.0000,45,45,208
0.8000,all,301,-0.0013,-0.0222,0.0190,0.8536,1.0000,52,47,202
0.9000,all,301,-0.0169,-0.0380,0.0040,0.2069,0.8277,48,58,195
0.2500,1-2,250,-0.0247,-0.0472,-0.0029,0.0107,0.0535,25,54,171
0.5000,1-2,249,-0.0048,-0.0277,0.0179,0.7803,0.7803,38,43,168
0.6000,1-2,247,-0.0187,-0.0443,0.0056,0.1624,0.4873,35,42,170
0.8000,1-2,250,-0.0094,-0.0331,0.0134,0.3827,0.7653,37,43,170
0.9000,1-2,250,-0.0245,-0.0489,-0.0017,0.0463,0.1853,35,51,164
0.2500,3-4,46,0.0011,-0.0337,0.0304,0.5109,0.7566,7,2,37
0.5000,3-4,43,0.0198,-0.0337,0.0733,0.3284,0.7566,9,5,29
0.6000,3-4,46,0.0261,-0.0130,0.0674,0.1634,0.6534,9,3,34
0.8000,3-4,46,0.0391,0.0033,0.0783,0.0140,0.0702,13,4,29
0.9000,3-4,46,0.0185,-0.0305,0.0685,0.2522,0.7566,11,7,28
