family,bucket,n,delta,ci_low,ci_high,p_wilcoxon,win,loss,tie
hybrid,all,301,-0.0203,-0.0399,-0.0013,0.0222,32,56,213
hybrid,1-2,250,-0.0247,-0.0470,-0.0022,0.0107,25,54,171
hybrid,3-4,46,0.0011,-0.0348,0.0304,0.5109,7,2,37
cross,all,301,-0.0170,-0.0409,0.0067,0.0787,40,56,205
cross,1-2,250,-0.0233,-0.0502,0.0029,0.0364,31,48,171
cross,3-4,46,0.0174,-0.0348,0.0750,0.5504,9,7,30
ppr,all,301,-0.0008,-0.0232,0.0212,0.8336,53,51,197
ppr,1-2,250,-0.0052,-0.0315,0.0208,0.6375,46,47,157
ppr,3-4,46,0.0228,-0.0054,0.0587,0.3689,7,4,35
dense,all,301,-0.0095,-0.0289,0.0093,0.3263,34,44,223
dense,1-2,250,-0.0112,-0.0340,0.0113,0.3356,32,41,177
dense,3-4,46,-0.0011,-0.0098,0.0076,0.8875,2,3,41
