law_nm,article_number,hang_number,article_title,structural_index,entity_type,concept,subject,action,object,legal_force,full_text,cross_law_refs,intra_law_refs,pipeline_version,generator_model,evaluator_model,eval_score,retry_count
금융실명법,제1조,,목적,"[None, None, 1, None]",CONCEPT,법의 목적,,도모함,경제정의 실현 및 국민경제의 건전한 발전,DEFINITIONAL,제1조(목적) 이 법은 실지명의(實地名義)에 의한 금융거래를 실시하고 그 비밀을 보장하여 금융거래의 정상화를 꾀함으로써 경제정의를 실현하고 국민경제의 건전한 발전을 도모함을 목적으로 한다.,,제1조,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,제2조,,정의,"[None, None, 2, None]",DEFINITION,금융회사등의 정의,,말한다,금융회사등,DEFINITIONAL,제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2016. 5. 29.> 1. “금융회사등”이란 다음 각 목의 것을 말한다. 가. 「은행법」에 따른 은행 나. 「중소기업은행법」에 따른 중소기업은행 다. 「한국산업은행법」에 따른 한국산업은행 라. 「한국수출입은행법」에 따른 한국수출입은행 마. 「한국은행법」에 따른 한국은행 바. 「자본시장과 금융투자업에 관한 법률」에 따른 투자매매업자ㆍ투자중개업자ㆍ집합투자업자ㆍ신탁업자ㆍ증권금융회사ㆍ종합금융회사 및 명의개서대행회사 사. 「상호저축은행법」에 따른 상호저축은행 및 상호저축은행중앙회 아. 「농업협동조합법」에 따른 조합과 그 중앙회 및 농협은행 자. 「수산업협동조합법」에 따른 조합과 그 중앙회 및 수협은행 차. 「신용협동조합법」에 따른 신용협동조합 및 신용협동조합중앙회 카. 「새마을금고법」에 따른 금고 및 중앙회 타. 「보험업법」에 따른 보험회사 파. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서 하. 그 밖에 대통령령으로 정하는 기관,「은행법」; 「중소기업은행법」; 「한국산업은행법」; 「한국수출입은행법」; 「한국은행법」; 「자본시장과 금융투자업에 관한 법률」; 「상호저축은행법」; 「농업협동조합법」; 「수산업협동조합법」; 「신용협동조합법」; 「새마을금고법」; 「보험업법」; 「우체국예금ㆍ보험에 관한 법률」,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,제2조,,정의,"[None, None, 2, None]",DEFINITION,금융자산의 정의,,말한다,금융자산,DEFINITIONAL,제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2016. 5. 29.> 2. “금융자산”이란 금융회사등이 취급하는 예금ㆍ적금ㆍ부금(賦金)ㆍ계금(契金)ㆍ예탁금ㆍ출자금ㆍ신탁재산ㆍ주식ㆍ채권ㆍ수익증권ㆍ출자지분ㆍ어음ㆍ수표ㆍ채무증서 등 금전 및 유가증권과 그 밖에 이와 유사한 것으로서 총리령으로 정하는 것을 말한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,1
금융실명법,제2조,,정의,"[None, None, 2, None]",DEFINITION,금융거래의 정의,금융회사등,"금융자산을 수입·매매·환매·중개·할인·발행·상환·환급·수탁·등록·교환하거나 그 이자, 할인액 또는 배당을 지급하는 것",금융자산,DEFINITIONAL,"제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2016. 5. 29.> 3. “금융거래”란 금융회사등이 금융자산을 수입(受入)ㆍ매매ㆍ환매ㆍ중개ㆍ할인ㆍ발행ㆍ상환ㆍ환급ㆍ수탁ㆍ등록ㆍ교환하거나 그 이자, 할인액 또는 배당을 지급하는 것과 이를 대행하는 것 또는 그 밖에 금융자산을 대상으로 하는 거래로서 총리령으로 정하는 것을 말한다.",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,제2조,,정의,"[None, None, 2, None]",DEFINITION,실지명의의 정의,,말한다,실지명의,DEFINITIONAL,"제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2016. 5. 29.> 4. “실지명의”란 주민등록표상의 명의, 사업자등록증상의 명의, 그 밖에 대통령령으로 정하는 명의를 말한다.",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,제3조,1,금융실명거래,"[None, None, 3, 1]",REGULATION,금융실명거래 의무,금융회사등,실지명의로 금융거래를 하여야 한다,금융거래,MANDATORY,제3조(금융실명거래) ① 금융회사등은 거래자의 실지명의(이하 “실명”이라 한다)로 금융거래를 하여야 한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,제3조,2,금융실명거래,"[None, None, 3, 2]",REGULATION,금융실명확인 예외 거래,금융회사등,실명을 확인하지 아니할 수 있다,거래,PERMISSIVE,"제3조(금융실명거래) ② 금융회사등은 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 경우에는 실명을 확인하지 아니할 수 있다. 1. 실명이 확인된 계좌에 의한 계속거래(繼續去來), 공과금 수납 및 100만원 이하의 송금 등의 거래로서 대통령령으로 정하는 거래 2. 외국통화의 매입, 외국통화로 표시된 예금의 수입(受入) 또는 외국통화로 표시된 채권의 매도 등의 거래로서 대통령령으로 정하는 기간 동안의 거래 3. 다음 각 목의 어느 하나에 해당하는 채권(이하 “특정채권”이라 한다)으로서 법률 제5493호 금융실명거래및비밀보장에관한법률 시행일(1997년 12월 31일) 이후 1998년 12월 31일 사이에 재정경제부장관이 정하는 발행기간ㆍ이자율 및 만기 등의 발행조건으로 발행된 채권의 거래 가. 고용 안정과 근로자의 직업능력 향상 및 생활 안정 등을 위하여 발행되는 대통령령으로 정하는 채권 나. 「외국환거래법」 제13조에 따른 외국환평형기금 채권으로서 외국통화로 표시된 채권 다. 중소기업의 구조조정 지원 등을 위하여 발행되는 대통령령으로 정하는 채권 라. 「자본시장과 금융투자업에 관한 법률」 제329조에 따라 증권금융회사가 발행한 사채 마. 그 밖에 국민생활 안정과 국민경제의 건전한 발전을 위하여 발행되는 대통령령으로 정하는 채권",「외국환거래법」 제13조; 「자본시장과 금융투자업에 관한 법률」 제329조,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,제3조,3,금융실명거래,"[None, None, 3, 3]",PROHIBITIVE,타인 명의 금융거래 금지,누구든지,금융거래를 하여서는 아니 된다,타인의 실명,PROHIBITIVE,"제3조(금융실명거래) ③ 누구든지 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제2조제4호에 따른 불법재산의 은닉, 같은 조 제5호에 따른 자금세탁행위 또는 같은 조 제6호에 따른 공중협박자금조달행위 및 강제집행의 면탈, 그 밖에 탈법행위를 목적으로 타인의 실명으로 금융거래를 하여서는 아니 된다.",「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제2조제4호,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,3
금융실명법,제3조,4,금융실명거래,"[None, None, 3, 4]",PROHIBITIVE,금융거래 알선 및 중개 금지,금융회사등에 종사하는 자,알선하거나 중개하여서는 아니 된다,금융거래,PROHIBITIVE,제3조(금융실명거래) ④ 금융회사등에 종사하는 자는 제3항에 따른 금융거래를 알선하거나 중개하여서는 아니 된다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,제3조,5,금융실명거래,"[None, None, 3, 5]",CONCEPT,금융자산의 소유권 추정,,추정한다,금융자산,DEFINITIONAL,제3조(금융실명거래) ⑤ 제1항에 따라 실명이 확인된 계좌 또는 외국의 관계 법령에 따라 이와 유사한 방법으로 실명이 확인된 계좌에 보유하고 있는 금융자산은 명의자의 소유로 추정한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
